Company,Symbol,Weight,Price,,,,,,,,,,,,,,,,,,,,Country
Lockheed Martin,LMT,0.25%,627.43,,,,,,,,,,,,,,,,,,,,USA
Honeywell,HON,0.24%,221.5,,,,,,,,,,,,,,,,,,,,USA
Union Pacific Corporation,UNP,0.24%,234.92,,,,,,,,,,,,,,,,,,,,USA
Qualcomm,QCOM,0.24%,129.9,,,,,,,,,,,,,,,,,,,,USA
Eaton Corporation,ETN,0.23%,356.8,,,,,,,,,,,,,,,,,,,,USA
Booking Holdings,BKNG,0.23%,4324.04,,,,,,,,,,,,,,,,,,,,USA
Welltower,WELL,0.23%,195.94,,,,,,,,,,,,,,,,,,,,USA
Danaher Corporation,DHR,0.23%,189.35,,,,,,,,,,,,,,,,,,,,USA
Palo Alto Networks,PANW,0.22%,162.95,,,,,,,,,,,,,,,,,,,,USA
Stryker Corporation,SYK,0.22%,335.67,,,,,,,,,,,,,,,,,,,,USA
S&P Global,SPGI,0.22%,424.43,,,,,,,,,,,,,,,,,,,,USA
Lowe's,LOW,0.21%,224.63,,,,,,,,,,,,,,,,,,,,USA
Intuit,INTU,0.21%,455.56,,,,,,,,,,,,,,,,,,,,USA
Chubb Limited,CB,0.21%,322.58,,,,,,,,,,,,,,,,,,,,USA
Accenture,ACN,0.21%,199.99,,,,,,,,,,,,,,,,,,,,USA
Progressive Corporation,PGR,0.20%,206,,,,,,,,,,,,,,,,,,,,USA
Prologis,PLD,0.20%,128.01,,,,,,,,,,,,,,,,,,,,USA
Bristol Myers Squibb,BMY,0.20%,57.48,,,,,,,,,,,,,,,,,,,,USA
ServiceNow,NOW,0.20%,110.38,,,,,,,,,,,,,,,,,,,,USA
Vertex Pharmaceuticals,VRTX,0.20%,454,,,,,,,,,,,,,,,,,,,,USA
Parker Hannifin,PH,0.19%,894.41,,,,,,,,,,,,,,,,,,,,USA
Capital One,COF,0.19%,181.46,,,,,,,,,,,,,,,,,,,,USA
Medtronic,MDT,0.19%,86.16,,,,,,,,,,,,,,,,,,,,USA
HCA Healthcare,HCA,0.19%,493.88,,,,,,,,,,,,,,,,,,,,USA
CME Group,CME,0.19%,307.32,,,,,,,,,,,,,,,,,,,,USA
McKesson Corporation,MCK,0.18%,885.84,,,,,,,,,,,,,,,,,,,,USA
Altria,MO,0.18%,64.47,,,,,,,,,,,,,,,,,,,,USA
Corning Inc.,GLW,0.18%,124.58,,,,,,,,,,,,,,,,,,,,USA
Starbucks,SBUX,0.18%,92.55,,,,,,,,,,,,,,,,,,,,USA
Sandisk Corporation,SNDK,0.18%,709.71,,,,,,,,,,,,,,,,,,,,USA
Southern Company,SO,0.18%,93.39,,,,,,,,,,,,,,,,,,,,USA
Comcast,CMCSA,0.18%,29.02,,,,,,,,,,,,,,,,,,,,USA
Newmont,NEM,0.18%,95.8,,,,,,,,,,,,,,,,,,,,USA
CrowdStrike,CRWD,0.18%,409,,,,,,,,,,,,,,,,,,,,USA
Boston Scientific,BSX,0.18%,69.48,,,,,,,,,,,,,,,,,,,,USA
Constellation Energy,CEG,0.17%,281.99,,,,,,,,,,,,,,,,,,,,USA
Dell Technologies,DELL,0.17%,157.67,,,,,,,,,,,,,,,,,,,,USA
Adobe Inc.,ADBE,0.17%,248.15,,,,,,,,,,,,,,,,,,,,USA
Northrop Grumman,NOC,0.17%,706.95,,,,,,,,,,,,,,,,,,,,USA
Western Digital,WDC,0.17%,293.1,,,,,,,,,,,,,,,,,,,,USA
Duke Energy,DUK,0.17%,126.81,,,,,,,,,,,,,,,,,,,,USA
Equinix,EQIX,0.16%,959.16,,,,,,,,,,,,,,,,,,,,USA
General Dynamics,GD,0.16%,345.78,,,,,,,,,,,,,,,,,,,,USA
Waste Management,WM,0.16%,231.24,,,,,,,,,,,,,,,,,,,,USA
Howmet Aerospace,HWM,0.16%,231.21,,,,,,,,,,,,,,,,,,,,USA
