Company Name,Industry,Symbol,Series,ISIN Code,Country
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010,India
Max Financial Services Ltd.,Financial Services,MFSL,EQ,INE180A01020,India
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,EQ,INE027H01010,India
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,INE249Z01020,India
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS,EQ,INE338I01027,India
MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018,India
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012,India
NHPC Ltd.,Power,NHPC,EQ,INE848E01016,India
NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023,India
NTPC Green Energy Ltd.,Power,NTPCGREEN,EQ,INE0ONG01011,India
NTPC Ltd.,Power,NTPC,EQ,INE733E01010,India
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034,India
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024,India
Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,INE093I01010,India
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029,India
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL,EQ,INE274J01014,India
One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020,India
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027,India
PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026,India
PI Industries Ltd.,Chemicals,PIIND,EQ,INE603J01030,India
Page Industries Ltd.,Textiles,PAGEIND,EQ,INE761H01022,India
Patanjali Foods Ltd.,Fast Moving Consumer Goods,PATANJALI,EQ,INE619A01035,India
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01021,India
Phoenix Mills Ltd.,Realty,PHOENIXLTD,EQ,INE211B01039,India
Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026,India
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017,India
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011,India
